,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Position_Size,PnL,Balance,Sys_Trade,FTMO_Phase,Strat_Return,Strat_Duration,Entry_Hour,Return_Percentage
0,2020-01-03 10:45:00-05:00,3240.4,2020-01-05 18:00:00-05:00,3221.2,50.25252525252525,-1010.0505050505187,98989.94949494948,True,challenge,,2,10,
1,2020-01-06 10:00:00-05:00,3227.0,2020-01-06 16:30:00-05:00,3244.4304035129653,73.49996230966428,1217.3340313974588,100207.28352634695,True,challenge,1.0122975517980193,1,10,1.229755179801928
2,2020-01-07 11:15:00-05:00,3244.6,2020-01-07 16:30:00-05:00,3234.4,90.64298502395327,-1002.0728352634695,99205.21069108347,True,challenge,0.9899999999999999,1,11,-1.000000000000012
3,2020-01-08 10:00:00-05:00,3247.8,2020-01-08 15:45:00-05:00,3264.3158664250427,85.09069887162234,1332.2740574799338,100537.48474856341,True,challenge,1.0134294766192122,1,10,1.3429476619212233
4,2020-01-13 10:00:00-05:00,3277.4,2020-01-13 20:00:00-05:00,3295.3776451908734,121.99693262019791,2090.6200229246388,102628.10477148806,True,challenge,1.0207944333215928,1,10,2.079443332159281
5,2020-01-15 10:00:00-05:00,3296.6,2020-01-15 15:30:00-05:00,3283.4,72.94864626534955,-1026.2810477148805,101601.82372377318,True,challenge,0.9900000000000001,1,10,-0.9999999999999898
6,2020-01-17 10:30:00-05:00,3328.2,2020-01-17 11:00:00-05:00,3322.0,144.43117674825115,-1016.0182372377318,100585.80548653545,True,challenge,0.99,1,10,-1.0000000000000009
7,2020-01-20 10:00:00-05:00,3324.8,2020-01-20 20:00:00-05:00,3322.6,333.61935162175456,-1005.8580548653547,99579.9474316701,True,challenge,0.99,1,10,-1.0000000000000009
8,2020-01-21 11:15:00-05:00,3326.8,2020-01-22 02:45:00-05:00,3336.886320874703,112.59084935417056,1040.55475465815,100620.50218632825,True,challenge,1.0104494406905784,2,11,1.0449440690578404
9,2020-01-27 10:00:00-05:00,3254.6,2020-01-28 13:00:00-05:00,3279.949564535941,52.4191110923192,1281.8663506775627,101902.36853700581,True,challenge,1.0127396139238485,2,10,1.273961392384848
10,2020-02-04 10:00:00-05:00,3296.0,2020-02-05 05:30:00-05:00,3326.89296902387,90.53782905089732,2719.5520851171027,104621.92062212291,True,challenge,1.0266878201572862,2,10,2.6687820157286213
11,2020-02-07 10:45:00-05:00,3337.8,2020-02-07 14:00:00-05:00,3326.2,83.9692908242902,-1046.219206221229,103575.70141590168,True,challenge,0.99,1,10,-1.0000000000000009
