,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Position_Size,PnL,Balance,Sys_Trade,Strat_Return,Strat_Duration,Entry_Hour,Return_Percentage
0,2024-01-03 08:15:00+00:00,1.09642,2024-01-03 08:15:00+00:00,1.09516,1587301.5873015383,-2000.0,98000.0,True,,1,8,
1,2024-01-10 08:30:00+00:00,1.09409,2024-01-10 16:15:00+00:00,1.0960328877583443,1209876.5432099104,2350.6543249104298,100350.65432491043,True,1.023986268621535,1,8,2.398626862153508
2,2024-01-17 08:15:00+00:00,1.08787,2024-01-17 13:30:00+00:00,1.08586,998513.9733822702,-2007.0130864982086,98343.64123841222,True,0.98,1,8,-2.0000000000000018
3,2024-01-25 08:45:00+00:00,1.08955,2024-01-25 13:30:00+00:00,1.08841,1725327.0392705128,-1966.8728247682445,96376.76841364398,True,0.98,1,8,-2.0000000000000018
4,2024-01-26 08:45:00+00:00,1.08348,2024-01-26 12:30:00+00:00,1.0868651074846605,973502.7112488835,3295.4113141858625,99672.17972782985,True,1.0341930048955588,1,8,3.4193004895558765
5,2024-01-30 08:00:00+00:00,1.0823,2024-01-30 12:00:00+00:00,1.0841529175576872,1812221.44959674,3357.8969423750186,103030.07667020487,True,1.033689410139763,1,8,3.36894101397629
6,2024-01-31 08:45:00+00:00,1.08237,2024-01-31 10:00:00+00:00,1.08226,2341592.651595587,-257.5751916756422,102772.50147852923,True,0.9974999999999987,1,8,-0.2500000000001279
7,2024-02-02 08:15:00+00:00,1.08874,2024-02-02 08:30:00+00:00,1.08744,1581115.4073618923,-2055.450029570585,100717.05144895865,True,0.9800000000000001,1,8,-1.9999999999999907
8,2024-02-05 08:15:00+00:00,1.07844,2024-02-05 08:30:00+00:00,1.07726,1707068.6686264772,-2014.341028979173,98702.71041997947,True,0.98,1,8,-2.0000000000000018
9,2024-02-07 08:00:00+00:00,1.07726,2024-02-07 08:15:00+00:00,1.0761,1701770.8693099178,-1974.0542083995895,96728.65621157989,True,0.9800000000000001,1,8,-1.9999999999999907
10,2024-02-09 08:30:00+00:00,1.07827,2024-02-09 08:45:00+00:00,1.07746,2388361.8817674713,-1934.5731242315978,94794.08308734829,True,0.98,1,8,-2.0000000000000018
11,2024-02-12 08:00:00+00:00,1.08032,2024-02-12 08:00:00+00:00,1.07894,1373827.2911210526,-1895.8816617469658,92898.20142560132,True,0.98,1,8,-2.0000000000000018
12,2024-02-22 08:15:00+00:00,1.087,2024-02-22 13:15:00+00:00,1.08376,573445.6878123699,-1857.9640285120267,91040.2373970893,True,0.98,1,8,-2.0000000000000018
13,2024-02-23 08:15:00+00:00,1.08322,2024-02-23 08:45:00+00:00,1.08239,2193740.6601705397,-1820.8047479417858,89219.43264914751,True,0.98,1,8,-2.0000000000000018
14,2024-02-27 08:45:00+00:00,1.08638,2024-02-27 10:00:00+00:00,1.08501,1302473.469330743,-1784.3886529829501,87435.04399616456,True,0.98,1,8,-2.0000000000000018
15,2024-02-29 08:15:00+00:00,1.08407,2024-02-29 11:30:00+00:00,1.08302,1665429.4094507608,-1748.7008799232913,85686.34311624127,True,0.9800000000000001,1,8,-1.9999999999999907
16,2024-03-04 08:00:00+00:00,1.0854,2024-03-04 08:15:00+00:00,1.08452,1947416.8890055015,-1713.7268623248256,83972.61625391645,True,0.98,1,8,-2.0000000000000018
